name,stars,value,target,info,completioninfo,village,playername,tag,clanname,clantag,datepulled
Bigger Coffers,3,15,10,Upgrade a Gold Storage to level 10,Highest Gold Storage level: 15,home,The F Train,#QL0YGL8JP,Invidia Bandit,#9VG8P90Q,09-10-2022
Get those Goblins!,3,210,150,Win 150 Stars on the Campaign Map,Stars in Campaign Map: 210,home,The F Train,#QL0YGL8JP,Invidia Bandit,#9VG8P90Q,09-10-2022
Bigger & Better,3,14,8,Upgrade Town Hall to level 8,Current Town Hall level: 14,home,The F Train,#QL0YGL8JP,Invidia Bandit,#9VG8P90Q,09-10-2022
Nice and Tidy,3,2558,500,"Remove 500 obstacles (trees, rocks, bushes)",Total obstacles removed: 2558,home,The F Train,#QL0YGL8JP,Invidia Bandit,#9VG8P90Q,09-10-2022
Discover New Troops,3,1,1,Unlock Dragon in the Barracks,,home,The F Train,#QL0YGL8JP,Invidia Bandit,#9VG8P90Q,09-10-2022
Gold Grab,3,861741159,100000000,Steal 100000000 gold,Total Gold looted: 861741159,home,The F Train,#QL0YGL8JP,Invidia Bandit,#9VG8P90Q,09-10-2022
Elixir Escapade,3,1002416346,100000000,Steal 100000000 elixir,Total Elixir looted: 1002416346,home,The F Train,#QL0YGL8JP,Invidia Bandit,#9VG8P90Q,09-10-2022
Sweet Victory!,3,4899,1250,Achieve a total of 1250 trophies in Multiplayer battles,Trophy record: 4899,home,The F Train,#QL0YGL8JP,Invidia Bandit,#9VG8P90Q,09-10-2022
Empire Builder,3,9,4,Upgrade Clan Castle to level 4,Current Clan Castle level: 9,home,The F Train,#QL0YGL8JP,Invidia Bandit,#9VG8P90Q,09-10-2022
Wall Buster,3,61208,2000,Destroy 2000 Walls in Multiplayer battles,Total walls destroyed: 61208,home,The F Train,#QL0YGL8JP,Invidia Bandit,#9VG8P90Q,09-10-2022
Humiliator,3,2384,2000,Destroy 2000 Town Halls in Multiplayer battles,Total Town Halls destroyed: 2384,home,The F Train,#QL0YGL8JP,Invidia Bandit,#9VG8P90Q,09-10-2022
Union Buster,3,5702,2500,Destroy 2500 Builder's Huts in Multiplayer battles,Total Builder's Huts destroyed: 5702,home,The F Train,#QL0YGL8JP,Invidia Bandit,#9VG8P90Q,09-10-2022
