tag,name,townhalllevel,townhallweaponlevel,explevel,trophies,besttrophies,warstars,attackwins,defensewins,builderhalllevel,versustrophies,bestversustrophies,versusbattlewins,role,warpreference,donations,donationsreceived,clancapitalcontributions,league,clanname,clantag,datepulled
#8C98082J,cookie monster,14,1.0,234,5000,5054,1886,31,3,9.0,4016,4255,2439,member,in,1124,1366,413256,Legend League,Invidia Bandit,#9VG8P90Q,09-07-2022
#QL0YGL8JP,The F Train,14,2.0,161,4786,4832,568,58,0,9.0,4034,4167,1847,member,in,1374,3265,292159,Titan League I,Invidia Bandit,#9VG8P90Q,09-07-2022
#2L8UJQQ29,JohnChalant,14,5.0,228,4515,5535,1957,26,2,9.0,3961,3961,829,coLeader,in,266,0,295305,Titan League II,Invidia Bandit,#9VG8P90Q,09-07-2022
#RPU0LQR0,Big Dog 29,14,5.0,237,4269,5243,2484,1,2,9.0,5090,5305,3458,admin,in,280,291,286870,Titan League III,Invidia Bandit,#9VG8P90Q,09-07-2022
#URV2C0JC,B⭕️⭕️G,14,5.0,247,4137,5620,2975,1,2,9.0,4847,5009,3107,member,in,674,141,396568,Titan League III,Invidia Bandit,#9VG8P90Q,09-07-2022
#G98YPPYQ,AJ,13,4.0,172,4035,4131,866,41,1,9.0,3617,3745,1378,member,in,1526,1907,324660,Titan League III,Invidia Bandit,#9VG8P90Q,09-07-2022
#9UGJ02PU,CHIEF REDSKIN,14,2.0,209,4002,5010,1030,7,0,9.0,3052,3078,3302,leader,in,208,325,161400,Champion League I,Invidia Bandit,#9VG8P90Q,09-07-2022
#GVPCQULP,*Bond007*,14,5.0,233,3971,5724,2120,10,1,9.0,4794,5062,2466,coLeader,in,1479,972,625525,Champion League I,Invidia Bandit,#9VG8P90Q,09-07-2022
#PQJ0VLU0,Lucas,14,5.0,229,3771,4673,2904,0,0,9.0,4136,4610,3399,coLeader,in,0,3,435545,,Invidia Bandit,#9VG8P90Q,09-07-2022
#GVYR22LP,Lady Deanna,13,4.0,216,3601,3897,2782,4,5,9.0,4493,5021,2071,admin,in,952,445,320675,Champion League II,Invidia Bandit,#9VG8P90Q,09-07-2022
#LYPR8JC9,Daniel,14,5.0,232,3531,4119,3561,7,9,9.0,3623,3653,171,coLeader,in,1219,342,313852,Champion League II,Invidia Bandit,#9VG8P90Q,09-07-2022
#LRVVPU08C,Dr. No,13,5.0,148,3496,3647,1139,12,2,9.0,3284,3343,806,member,in,1080,1281,257010,Champion League II,Invidia Bandit,#9VG8P90Q,09-07-2022
#QVGGVC02,MarketHood,14,5.0,227,3417,5184,1534,0,3,9.0,3372,3374,646,coLeader,in,0,0,650,Champion League III,Invidia Bandit,#9VG8P90Q,09-07-2022
#YLCU2R922,Big Dog 87,12,5.0,150,3390,3946,967,2,1,8.0,2728,2728,692,admin,in,348,336,181245,Champion League III,Invidia Bandit,#9VG8P90Q,09-07-2022
#VJU0809J,Quincy,12,5.0,171,3384,4348,818,10,1,8.0,2518,2579,459,member,in,67,208,144719,Champion League III,Invidia Bandit,#9VG8P90Q,09-07-2022
#QQGC9R0L,Mawo,13,5.0,199,3263,3942,2722,4,2,9.0,4971,5323,3353,admin,in,570,458,297511,Champion League III,Invidia Bandit,#9VG8P90Q,09-07-2022
