tag,name,legendTrophies,bestSeasonDate,bestSeasonRank,bestSeasonTrophies,previousSeasonDate,previousSeasonRank,previousSeasonTrophies,currentSeasonRank,currentSeasonTrophies,clanName,clanTag,datePulled
#8C98082J,cookie monster,0.0,2022-01,712384.0,4991.0,,,,229.0,5000,Invidia Bandit,#9VG8P90Q,09-07-2022
#2L8UJQQ29,JohnChalant,1713.0,2016-12,6407.0,5469.0,,,,,4515,Invidia Bandit,#9VG8P90Q,09-07-2022
#RPU0LQR0,Big Dog 29,672.0,2019-01,147162.0,5199.0,,,,,4269,Invidia Bandit,#9VG8P90Q,09-07-2022
#URV2C0JC,B⭕️⭕️G,4224.0,2021-08,24055.0,5620.0,,,,,4137,Invidia Bandit,#9VG8P90Q,09-07-2022
#GVPCQULP,*Bond007*,1890.0,2017-06,23058.0,5294.0,,,,,3971,Invidia Bandit,#9VG8P90Q,09-07-2022
#QVGGVC02,MarketHood,131.0,2022-02,380599.0,5131.0,,,,,3417,Invidia Bandit,#9VG8P90Q,09-07-2022
#8GQGV0J0Q,Xavi Hernandez,0.0,2020-06,532898.0,4999.0,,,,,3149,Invidia Bandit,#9VG8P90Q,09-07-2022
#YYC2UJYJ,domezyy,97.0,2018-02,134047.0,5090.0,,,,,4852,Rob-Seb,#8Q0L9CRY,09-07-2022
#GL98C8YC,SupraTurbo95,959.0,2017-08,52712.0,5280.0,,,,,4768,Rob-Seb,#8Q0L9CRY,09-07-2022
#20C2CLGYL,0000,3613.0,2021-04,86946.0,5419.0,,,,,4323,Rob-Seb,#8Q0L9CRY,09-07-2022
#ULUUR8LC,Darkitect,3978.0,2018-07,12310.0,5736.0,,,,,4170,Rob-Seb,#8Q0L9CRY,09-07-2022
#280C2VV0C,swimmerhair,1082.0,2018-07,39881.0,5476.0,,,,,3571,Rob-Seb,#8Q0L9CRY,09-07-2022
#RJGVYQQP,Godly,629.0,2021-06,290617.0,5218.0,,,,,3471,Rob-Seb,#8Q0L9CRY,09-07-2022
#299LJLL8G,Greg,70.0,2020-07,417266.0,5070.0,,,,,3101,Rob-Seb,#8Q0L9CRY,09-07-2022
#UJVR2Y9,Sir Rgra,775.0,2022-01,273348.0,5294.0,,,,,4814,Vi11ageWarriors,#LL2C8L8V,09-07-2022
#2JG0RPCY9,Robert III,443.0,2022-02,309141.0,5194.0,,,,,4459,Vi11ageWarriors,#LL2C8L8V,09-07-2022
