tag,name,legendTrophies,bestSeasonDate,bestSeasonRank,bestSeasonTrophies,previousSeasonDate,previousSeasonRank,previousSeasonTrophies,currentSeasonRank,currentSeasonTrophies,clanName,clanTag,datePulled
#8C98082J,cookie monster,0.0,2022-01,712384.0,4991.0,,,,,4850,Invidia Bandit,#9VG8P90Q,07-26-2022
#2L8UJQQ29,JohnChalant,1713.0,2016-12,6407.0,5469.0,,,,,4409,Invidia Bandit,#9VG8P90Q,07-26-2022
#RPU0LQR0,Big Dog 29,672.0,2019-01,147162.0,5199.0,,,,,4333,Invidia Bandit,#9VG8P90Q,07-26-2022
#GVPCQULP,*Bond007*,1890.0,2017-06,23058.0,5294.0,,,,,4170,Invidia Bandit,#9VG8P90Q,07-26-2022
#QVGGVC02,MarketHood,131.0,2022-02,380599.0,5131.0,,,,,3403,Invidia Bandit,#9VG8P90Q,07-26-2022
#8GQGV0J0Q,Xavi Hernandez,0.0,2020-06,532898.0,4999.0,,,,,3077,Invidia Bandit,#9VG8P90Q,07-26-2022
#YYC2UJYJ,domezyy,97.0,2018-02,134047.0,5090.0,,,,,4751,Rob-Seb,#8Q0L9CRY,07-26-2022
#GL98C8YC,SupraTurbo95,959.0,2017-08,52712.0,5280.0,,,,,4565,Rob-Seb,#8Q0L9CRY,07-26-2022
#ULUUR8LC,Darkitect,3978.0,2018-07,12310.0,5736.0,,,,,4453,Rob-Seb,#8Q0L9CRY,07-26-2022
#20C2CLGYL,0000,3613.0,2021-04,86946.0,5419.0,,,,,3879,Rob-Seb,#8Q0L9CRY,07-26-2022
#299LJLL8G,Greg,70.0,2020-07,417266.0,5070.0,,,,,3424,Rob-Seb,#8Q0L9CRY,07-26-2022
#280C2VV0C,swimmerhair,1082.0,2018-07,39881.0,5476.0,,,,,2364,Rob-Seb,#8Q0L9CRY,07-26-2022
#UJVR2Y9,Sir Rgra,775.0,2022-01,273348.0,5294.0,2022-07,498844.0,5042.0,479.0,4946,Vi11ageWarriors,#LL2C8L8V,07-26-2022
#2JG0RPCY9,Robert III,443.0,2022-02,309141.0,5194.0,2022-07,478260.0,5057.0,101.0,4902,Vi11ageWarriors,#LL2C8L8V,07-26-2022
#290LGJPL,UnDead Monkeyy,3492.0,2022-01,246506.0,5319.0,2022-07,325035.0,5180.0,,4880,Vi11ageWarriors,#LL2C8L8V,07-26-2022
#80R9C08L,kick,112.0,2018-02,125885.0,5112.0,,,,,4857,Vi11ageWarriors,#LL2C8L8V,07-26-2022
#92VRP822,Hades,658.0,2019-05,103001.0,5270.0,,,,,4735,Vi11ageWarriors,#LL2C8L8V,07-26-2022
#PR0UURRJ,mgrav,832.0,2019-04,161799.0,5176.0,,,,,4706,Vi11ageWarriors,#LL2C8L8V,07-26-2022
